src_pt,src_cat,src_sc,count,status,ent_pt_2,ent_cat_2,ent_sc_2,notes
Decor,Home Organization,Folding Screens + Room Dividers,3,,Home,Z_Other,-,
Decor,Home Organization,Freestanding Shelving + Storage,2,,Home,Furniture,Storage,
Furniture,-,-,9558,,Home,Furniture,-,
Furniture,Entryway Furniture,Benches + Stools,55,,Home,Furniture,-,
Furniture,Entryway Furniture,Coat Racks + Umbrella Stands,13,,Home,Organization,-,
Furniture,Entryway Furniture,Coffee Tables,2,,Home,Furniture,-,
Furniture,Entryway Furniture,Console Tables,39,,Home,Furniture,-,
Furniture,Entryway Furniture,"Credenzas, Buffets + Sideboards",3,,Home,Furniture,-,
Furniture,Entryway Furniture,Decor,1,,Home,Decor,-,
Furniture,Entryway Furniture,Entryway Accessories,0,,Home,Decor,-,
Furniture,Entryway Furniture,Media Storage,5,,Home,Furniture,Storage,
Furniture,Entryway Furniture,Mirrors,13,,Home,Decor,Mirrors,
Furniture,Entryway Furniture,Outdoor,2,,Home,Decor,-,
Furniture,Entryway Furniture,"Seat Pads, Cushions + Slipcovers",0,,Home,Decor,-,
Furniture,Entryway Furniture,Shelves + Bookcases,1,,Home,Furniture,Bookcases and Cubbies,
Furniture,Entryway Furniture,Side + End Tables,2,,Home,Furniture,Side Tables,
Furniture,Entryway Furniture,Storage Accessories,1,,Home,Furniture,-,
Furniture,Entryway Furniture,Wall Storage & Coat Racks,0,,Home,Organization,-,
Furniture,Gaming Furniture,-,182,,Home,Furniture,-,
Furniture,Kitchen + Dining Room Furniture,Accessories + Decor,4,,Home,Decor,-,
Furniture,Kitchen + Dining Room Furniture,Adjustable Height Stools,14,,Home,Furniture,Chairs and Sofas,
Furniture,Kitchen + Dining Room Furniture,Bar Carts + Trolleys,15,,Home,Furniture,Storage,
Furniture,Kitchen + Dining Room Furniture,Café Tables,10,,Home,Furniture,Tables and Desks,
Furniture,Kitchen + Dining Room Furniture,Credenzas + Sideboards,0,,Home,Furniture,-,
Furniture,Kitchen + Dining Room Furniture,Dining Armchairs,559,,Home,Furniture,Chairs and Sofas,
Furniture,Kitchen + Dining Room Furniture,Dining Benches,11,,Home,Furniture,-,
Furniture,Kitchen + Dining Room Furniture,Dining Side Chairs,546,,Home,Furniture,Chairs and Sofas,
Furniture,Kitchen + Dining Room Furniture,Dining Stools,241,,Home,Furniture,Chairs and Sofas,
Furniture,Kitchen + Dining Room Furniture,Extension + Drop Leaf Tables,10,,Home,Furniture,Tables and Desks,
Furniture,Kitchen + Dining Room Furniture,Kitchen + Dining Storage,0,,Home,Furniture,Storage,
Furniture,Kitchen + Dining Room Furniture,Rectangular Dining Tables,46,,Home,Furniture,Tables and Desks,
Furniture,Kitchen + Dining Room Furniture,Round + Oval Dining Tables,49,,Home,Furniture,Tables and Desks,
Furniture,Kitchen + Dining Room Furniture,Stacking Chairs,55,,Home,Furniture,Chairs and Sofas,
Furniture,Kitchen + Dining Room Furniture,Step Stools,1,,Home,Decor,-,
Furniture,Living Room Furniture,Art,0,,Home,Decor,Art,
Furniture,Living Room Furniture,Bar + Counter Stools,127,,Home,Furniture,Chairs and Sofas,
Furniture,Living Room Furniture,"Bar Carts, Bar Cabinets + Trolleys",0,,Home,Furniture,Storage,
Furniture,Living Room Furniture,Bedside Tables + Nightstands,0,,Home,Furniture,Side Tables,
Furniture,Living Room Furniture,Benches + Stools,143,,Home,Furniture,-,
Furniture,Living Room Furniture,Coat Racks + Umbrella Stands,0,,Home,Organization,-,
Furniture,Living Room Furniture,Coffee Tables,191,,Home,Furniture,-,
Furniture,Living Room Furniture,Console Tables,7,,Home,Furniture,-,
Furniture,Living Room Furniture,"Credenzas, Buffets + Sideboards",0,,Home,Furniture,-,
Furniture,Living Room Furniture,Daybeds + Sleeper Sofas,264,,Home,Decor,-,
Furniture,Living Room Furniture,Decor,103,,Home,Decor,-,
Furniture,Living Room Furniture,Desks,0,,Home,Furniture,Tables and Desks,
Furniture,Living Room Furniture,Dining + Side Chairs,30,,Home,Furniture,Chairs and Sofas,
Furniture,Living Room Furniture,Entryway Accessories,0,,Home,Decor,-,
Furniture,Living Room Furniture,Fireplace Accessories,2,,Home,Decor,-,
Furniture,Living Room Furniture,Lounge Chairs + Armchairs,2307,,Home,Furniture,Chairs and Sofas,
Furniture,Living Room Furniture,Media Storage,0,,Home,Furniture,Storage,
Furniture,Living Room Furniture,Office + File Storage,0,,Home,Furniture,Storage,
Furniture,Living Room Furniture,Ottomans,1188,,Home,Furniture,Chairs and Sofas,
Furniture,Living Room Furniture,Outdoor,79,,Home,Furniture,Chairs and Sofas,
Furniture,Living Room Furniture,Outdoor Accessories,0,,Home,Decor,-,
Furniture,Living Room Furniture,Pillows + Throws,2,,Home,Decor,Decorative Pillows and Throws,
Furniture,Living Room Furniture,Rocking Chairs + Recliners,101,,Home,Furniture,Chairs and Sofas,
Furniture,Living Room Furniture,"Seat Pads, Cushions + Slipcovers",6,,Home,Decor,-,
Furniture,Living Room Furniture,Shelves + Bookcases,0,,Home,Furniture,Bookcases and Cubbies,
Furniture,Living Room Furniture,Side + End Tables,143,,Home,Furniture,Side Tables,
