productType,category,subCategory,pt aliases,cat aliases,sub-cat aliases,descriptions,,,
Apparel,Thermals,Sets,Clothing,Base Layers,,,,,
Apparel,Thermals,Tops,Clothing,Base Layers,,,,,
Apparel,Tops,-,Clothing,,,,,,
Apparel,Tops,Athletic Tops,Clothing,,Active Tops,,,,
Apparel,Tops,Blouses,Clothing,,,,,,
Apparel,Tops,Button-Down Shirts,Clothing,,Collared Shirts,,,,
Apparel,Tops,Cardigans,Clothing,,Layering Sweater,,,,
Apparel,Tops,Fleeces,Clothing,,Base Layer,,,Layering,
Apparel,Tops,Hoodies,Clothing,,,,,,
Apparel,Tops,Long Sleeve T-Shirts,Clothing,,,,,,
Apparel,Tops,Onesies,Clothing,,Crotch-snaps,,,,
Apparel,Tops,Polos,Clothing,,,,,,
Apparel,Tops,Sleeveless,Clothing,,"tank tops, spaghetti strap",,,,
Apparel,Tops,Sweaters,Clothing,,Jumper,,,,
Apparel,Tops,Sweatshirts,Clothing,,,,,,
Apparel,Tops,T-Shirts,Clothing,,Short Sleeve Shirts,,,,
Apparel,Tops,Turtle Necks,Clothing,,,,,,
Apparel,Underwear,-,Clothing,Knickers,,,,,
Apparel,Underwear,Bikini Underwear,Clothing,Knickers,,,,,
Apparel,Underwear,Boxer Briefs,Clothing,Knickers,,,,,
Apparel,Underwear,Boxers,Clothing,Knickers,,,,,
Apparel,Underwear,Boy Short Underwear,Clothing,Knickers,,,,,
Apparel,Underwear,Briefs,Clothing,Knickers,,,,,
Apparel,Underwear,Hipster Underwear,Clothing,Knickers,,,,,
Apparel,Z_Other,-,Clothing,,,,,,
Baby Gear,-,-,,,,,,,
Baby Gear,Baby Monitors,-,,,,,,,
Baby Gear,Baby Walkers,-,,,"Sit-in Baby Walker, Sit-In Walker",Sit-in walker with 4 wheels,,,
Baby Gear,"Bouncers, Jumpers & Swings",-,,,,,,,
Baby Gear,Car Seats,-,,,,,,,
Baby Gear,Car Seats,Booster Car Seats,,,,,,,
Baby Gear,Car Seats,Car Seat Accessories,,,,,,,
Baby Gear,Car Seats,Convertible Car Seats,,,Toddler Car Seat,,,,
Baby Gear,Car Seats,Infant Car Seat Bases,,,,,,,
Baby Gear,Car Seats,Infant Car Seats,,,,,,,
Baby Gear,Carriers,-,,,,,,,
Baby Gear,Carriers,Baby & Toddler carriers,,,Baby Backpack,,,,
Baby Gear,Carriers,Carrier Accessories,,,,,,,
Baby Gear,Carriers,Harnesses & Leashes,,,,,,,
Baby Gear,Carriers,Hiking Backpacks,,,,,,,
Baby Gear,Carriers,Slings,,,,,,,
Baby Gear,Diapering,-,,,,,,,
Baby Gear,Diapering,Baby Wipes,,,,,,,
Baby Gear,Diapering,Changing Pad Covers,,,,,,,
Baby Gear,Diapering,Changing Pads,,,,,,,
Baby Gear,Diapering,Cloth Diapers,,,"Reusable diapers, Cloth Nappies",,,,
Baby Gear,Diapering,Diaper Covers & Inserts,,,Cloth Diaper Covers,,,,
Baby Gear,Diapering,Diaper Creams,,,,,,,
Baby Gear,Diapering,Diaper Pails & liners,,,,,,,
Baby Gear,Diapering,Diaper Pins,,,,,,,
Baby Gear,Diapering,Diapering Accessories,,,"Wipes Cases, Wipes Warmer, Diaper Storage",,,,
Baby Gear,Diapering,Disposable Diapers,,,Nappies,,,,
Baby Gear,Diapering,Swim Diapers,,,Swim Nappies,,,,
Baby Gear,Diapering,Training Pants,,,Pull-Ups,,,,
Baby Gear,Floor Seats & Loungers,-,,,,,,,
Baby Gear,Hearing Protection Earmuffs,-,,,,,,,
Baby Gear,Nursing & Feeding,-,,,,,,,
Baby Gear,Nursing & Feeding,Baby Food,,,,,,,
Baby Gear,Nursing & Feeding,Baby Snacks,,,,,,,
Baby Gear,Nursing & Feeding,Bibs,,,,,,,
Baby Gear,Nursing & Feeding,Bottle Brushes,,,,,,,
Baby Gear,Nursing & Feeding,Bottle Nipples,,,,,,,
Baby Gear,Nursing & Feeding,Bottle Warmers,,,,,,,
Baby Gear,Nursing & Feeding,Bottles,,,,,,,
Baby Gear,Nursing & Feeding,Breast Pump & Accessories,,,,,,,
Baby Gear,Nursing & Feeding,Breastmilk Containers,,,Breastmilk Bags,,,,
Baby Gear,Nursing & Feeding,Burp Cloths,,,,,,,
Baby Gear,Nursing & Feeding,Drying Racks,,,,,,,
Baby Gear,Nursing & Feeding,Formula,,,,,,,
Baby Gear,Nursing & Feeding,Nursing Bras,,,,,,,
Baby Gear,Nursing & Feeding,Nursing Covers,,,,,,,
Baby Gear,Nursing & Feeding,Nursing Cups & Creams,,,nipple shields,,,,
Baby Gear,Nursing & Feeding,Nursing Pads,,,,,,,
Baby Gear,Nursing & Feeding,Nursing Pillows,,,,,,,
Baby Gear,Nursing & Feeding,Sterilizer,,,,,,,
Baby Gear,Pacifiers,-,,,,,,,
Baby Gear,Pacifiers,Pacifier Accessories,,,,,,,
Baby Gear,Pacifiers,Pacifiers,,,,,,,
Baby Gear,Playards,-,,"Playpen, Play Pen",,,,,
Baby Gear,Seating,-,,,,,,,
Baby Gear,Seating,Boosters,,,,,,,
Baby Gear,Seating,Clip on Chairs,,,,,,,
Baby Gear,Seating,Highchairs,,,,,,,
Baby Gear,Sleeping,-,,,,,,,
Baby Gear,Sleeping,Bassinets,,,,,,,
Baby Gear,Sleeping,Crib Bumpers,,,,,,,
Baby Gear,Sleeping,Crib Mobiles,,,,,,,
Baby Gear,Sleeping,Crib Tents,,,Canopies,,,,
Baby Gear,Sleeping,Cribs,,,Cots,,,,
Baby Gear,Sleeping,Swaddle Blankets,,,Receiving Blanket,,,,
Baby Gear,Sleeping,Travel Beds,,,,,,,
Baby Gear,Sleeping,Wearable Blanket,,,Sleep sack,,,,
Baby Gear,Sound Machines,-,,,,,,,
Baby Gear,Strollers,-,,,,,,,
Baby Gear,Strollers,Double Strollers,,"Pram, Pushchair",,,,,
Baby Gear,Strollers,Joggers,,"Pram, Pushchair",,,,,
Baby Gear,Strollers,Standard Strollers,,"Pram, Pushchair",,,,,
Baby Gear,Strollers,Stroller Accessories,,"Pram, Pushchair",,,,,
Baby Gear,Strollers,Travel Strollers,,"Pram, Pushchair",Umbrella Stroller,,,,
Baby Gear,Strollers,Wagons,,"Pram, Pushchair",,,,,
Baby Gear,Teething,-,,,,,,,
Baby Gear,Teething,Teethers,,,,,,,
Baby Gear,Teething,Teething Relief,,,,,,,
Baby Gear,Z_Other,-,,,,,,,
Bags,-,-,,,,,,,
Bags,Backpacks,-,,,,,,,
Bags,Backpacks,Sling Packs,,,,,,,
Bags,Breast Pump Bags,-,,,,,,,
Bags,Cooler Bags,-,,,,,,,
Bags,Diaper Bags,-,,,,,,,
Bags,Duffel & Weekender Bags,-,,,,,,,
Bags,Handbags and Purses,-,,,,,,,
Bags,Lunch Boxes and Snack Bags,-,,,,,,,
Bags,Suitcases,-,,,,,,,
Bags,Wet Bags,-,,,,,,,
Bags,Z_Other,-,,,,,,,
Bath and Body,-,-,,,,,,,
Bath and Body,Bath Products,-,,,,,,,
Bath and Body,Bath Products,Bath Bombs & Salts,,,,,,,
Bath and Body,Bath Products,Bubble Bath,,,,,,,
Bath and Body,Bath Products,Bundles,,,,,,,
Bath and Body,Bath Tubs,-,,,,,,,
Bath and Body,Bath Tubs,Baby Bath Seats,,,,,,,
Bath and Body,Bath Tubs,Baby Bath Tubs,,,,,,,
Bath and Body,Bath Tubs,Tub Accessories,,,Spout Cover,,,Kneeler,Non-slip mat
Bath and Body,Beauty Products,-,,,,,,,
Bath and Body,Beauty Products,Facial Masks,,,,,,,
Bath and Body,Beauty Products,Lipstick and Makeup,,,,,,,
Bath and Body,Dental Care,-,,,,,,,
Bath and Body,Dental Care,Floss and Picks,,,,,,,
Bath and Body,Dental Care,Mouthwash,,,,,,,
Bath and Body,Dental Care,Toothbrushes,,,,,,,
Bath and Body,Dental Care,Toothpaste,,,,,,,
Bath and Body,Hair Accessories,-,,,,,,,
Bath and Body,Hair Accessories,Barrettes,,,"Hair Bow, Hair Clip",,,,
Bath and Body,Hair Accessories,Hair Brushes,,,,,,,
Bath and Body,Hair Accessories,Hair Ties,,,,,,,
Bath and Body,Hair Accessories,Headbands,,,,,,,
Bath and Body,Hair Care,-,,,,,,,
Bath and Body,Hair Care,Combs and Brushes,,,Hair Brush,,,,
Bath and Body,Hair Care,Conditioner,,,,,,,
Bath and Body,Hair Care,Shampoo,,,,,,,
Bath and Body,Hair Care,Trimmers and Clippers,,,,,,,
Bath and Body,Health and Medicine,-,,,,,,,
Bath and Body,Health and Medicine,Band-Aids,,,,,,,
Bath and Body,Health and Medicine,Humidifiers & Purifiers,,,,,,,
Bath and Body,Health and Medicine,Nasal Care,,,,,,,
Bath and Body,Health and Medicine,Oral Care,,,,,,,
Bath and Body,Health and Medicine,Pain Relief,,,,,,,
Bath and Body,Health and Medicine,Pediatric Drinks,,,Pedialyte,,,,
Bath and Body,Health and Medicine,Thermometers,,,,,,,
Bath and Body,Health and Medicine,Treatment Kits,,,,,,,
Bath and Body,Health and Medicine,Vitamins,,,Dietary Supplements,,,,
Bath and Body,Personal Hygiene,-,,,,,,,
Bath and Body,Personal Hygiene,Hand Sanitizer,,,,,,,
Bath and Body,Personal Hygiene,Nail Clippers,,,,,,,
Bath and Body,Personal Hygiene,Wet Wipes,,,,,,,
Bath and Body,Potty Training,-,,,,,,,
Bath and Body,Potty Training,Child Toilet Seats,,,,,,,
Bath and Body,Potty Training,Potties,,,,,,,
Bath and Body,Potty Training,Travel Potties,,,,,,,
Bath and Body,Skin Care,-,,,,,,,
Bath and Body,Skin Care,Baby Oil,,,,,,,
Bath and Body,Skin Care,Bath Soaps and Body Wash,,,,,,,
Bath and Body,Skin Care,Face Wash,,,,,,,
Bath and Body,Skin Care,Lotion and Balm,,,,,,,
Bath and Body,Skin Care,Sunscreen,,,,,,,
Bath and Body,Towels,-,,,,,,,
Bath and Body,Towels,Bath Robes,,,Robes,,,,
Bath and Body,Towels,Bath Towels,,,,,,,
Bath and Body,Towels,Hand Towels,,,,,,,
Bath and Body,Towels,Hooded Towels,,,,,,,
Bath and Body,Towels,Wash Cloths,,,,,,,
Bath and Body,Z_Other,-,,,,,,,
Books,-,-,,,,,,,
Books,Activity & Workbooks,-,,,,,,,
Books,Bath Books,-,,,,,,,
Books,Beginning Readers,-,,,,,,,
Books,Blank Books,-,,,,,,,
Books,Blank Books,Journals,,,,,,,
Books,Blank Books,Notebooks,,,,,,,
Books,Blank Books,Planners,,,,,,,
Books,Blank Books,Sketchbooks,,,,,,,
Books,Board Books,-,,,,,,,
Books,Chapter Books,-,,,,,,,
Books,Coloring Books,-,,,,,,,
Books,Flash Cards,-,,,,,,,
Books,Interactive Books,-,,,,,,,
Books,Picture Books,-,,,,,,,
Books,Pop-up & Lift-the-flap,-,,,,,,,
Books,Sound Books,-,,,,,,,
Books,Sticker Books,-,,,,,,,
Books,Touch & Feel Books,-,,,,,,,
Books,Z_Other,-,,,,,,,
Crafts & School Supplies,-,-,,,,,,,
Crafts & School Supplies,Adhesives,-,,,,,,,
Crafts & School Supplies,Adhesives,Glue,,,,,,,
Crafts & School Supplies,Adhesives,Tape,,,,,,,
Crafts & School Supplies,Adhesives,Velcro,,,,,,,
Crafts & School Supplies,Aprons & Smocks,-,,,,,,,
Crafts & School Supplies,Art Supply Kits,-,,,,,,,
Crafts & School Supplies,Beads,-,,,,,,,
Crafts & School Supplies,Canvas Boards,-,,,,,,,
Crafts & School Supplies,Craft Kits,-,,,,,,,
Crafts & School Supplies,Craft Kits,Beading kits,,,,,,,
Crafts & School Supplies,Craft Kits,Bedazzling kits,,,,,,,
Crafts & School Supplies,Craft Kits,Elastic Kits,,,,,,,
Crafts & School Supplies,Craft Kits,Friendship bracelet kits,,,,,,,
Crafts & School Supplies,Craft Kits,Fuse Beads,,,,,,,
Crafts & School Supplies,Craft Kits,Lanyard,,,,,,,
Crafts & School Supplies,Craft Kits,Sun Catchers,,,,,,,
Crafts & School Supplies,Craft Kits,Tie-dye kits,,,,,,,
Crafts & School Supplies,Craft Storage,-,,,,,,,
Crafts & School Supplies,Cutting Tools,-,,,,,,,
Crafts & School Supplies,Cutting Tools,Hole Punchers,,,,,,,
Crafts & School Supplies,Cutting Tools,Scissors,,,,,,,
Crafts & School Supplies,Drawing and Coloring,-,,,,,,,
Crafts & School Supplies,Drawing and Coloring,Chalk,,,,,,,
Crafts & School Supplies,Drawing and Coloring,Colored Pencils,,,,,,,
Crafts & School Supplies,Drawing and Coloring,Crayons,,,,,,,
Crafts & School Supplies,Drawing and Coloring,Highlighters,,,,,,,
Crafts & School Supplies,Drawing and Coloring,Markers,,,,,,,
Crafts & School Supplies,Drawing and Coloring,Pastels,,,,,,,
Crafts & School Supplies,Drawing and Coloring,Pen & Pencil Refills,,,,,,,
Crafts & School Supplies,Drawing and Coloring,Pencils,,,,,,,
Crafts & School Supplies,Drawing and Coloring,Pens,,,,,,,
Crafts & School Supplies,Dry Erase,-,,,,,,,
Crafts & School Supplies,Dry Erase,Dry Erase Erasers,,,,,,,
Crafts & School Supplies,Dry Erase,Dry Erase Markers,,,,,,,
Crafts & School Supplies,Easels,-,,,,,,,
Crafts & School Supplies,Measuring Tools,-,,,,,,,
Crafts & School Supplies,Measuring Tools,Protractors,,,,,,,
Crafts & School Supplies,Measuring Tools,Rulers,,,,,,,
Crafts & School Supplies,Measuring Tools,Tape Measures,,,,,,,
Crafts & School Supplies,Misc Craft Materials,-,,,,,,,
Crafts & School Supplies,Misc Craft Materials,Craft Sticks,,,,,,,
Crafts & School Supplies,Misc Craft Materials,Glitter,,,,,,,
Crafts & School Supplies,Misc Craft Materials,Jewels & Gems,,,,,,,
Crafts & School Supplies,Misc Craft Materials,Pipe Cleaners,,,,,,,
Crafts & School Supplies,Misc Craft Materials,Ribbons,,,,,,,
Crafts & School Supplies,Model Kits,-,,,,,,,
Crafts & School Supplies,Model Kits,Model Vehicles,,,,,,,
Crafts & School Supplies,Painting,-,,,,,,,
Crafts & School Supplies,Painting,Acrylic Paint,,,,,,,
Crafts & School Supplies,Painting,Finger Paint,,,,,,,
Crafts & School Supplies,Painting,Paint Brushes,,,,,,,
Crafts & School Supplies,Painting,Painting Kit,,,,,,,
Crafts & School Supplies,Painting,Tempera Paint,,,,,,,
Crafts & School Supplies,Painting,Water Color,,,,,,,
Crafts & School Supplies,Paper Crafts,-,,,,,,,
Crafts & School Supplies,Paper Crafts,Origami,,,,,,,
Crafts & School Supplies,Paper Crafts,Scrapbooking,,,,,,,
Crafts & School Supplies,Paper Supplies,-,,,,,,,
Crafts & School Supplies,Paper Supplies,Cardstock,,,,,,,
Crafts & School Supplies,Paper Supplies,Construction Paper,,,,,,,
Crafts & School Supplies,Paper Supplies,Craft Paper,,,,,,,
Crafts & School Supplies,Paper Supplies,Drawing Paper,,,,,,,
Crafts & School Supplies,Paper Supplies,Handwriting Paper,,,,,,,
Crafts & School Supplies,Paper Supplies,Loose Leaf Paper,,,,,,,
Crafts & School Supplies,Paper Supplies,Paper Rolls,,,,,,,
Crafts & School Supplies,Paper Supplies,Specialty Paper,,,,,,,
Crafts & School Supplies,Paper Supplies,Watercolor Paper,,,,,,,
Crafts & School Supplies,Sculpting Materials,-,,,,,,,
Crafts & School Supplies,Sculpting Materials,Clay,,,,,,,
Crafts & School Supplies,Sculpting Materials,Putty,,,,,,,
Crafts & School Supplies,Stamps,-,,,,,,,
Crafts & School Supplies,Stickers,-,,,,,,,
Crafts & School Supplies,Stickers,Sticker Books,,,,,,,
Crafts & School Supplies,Thread Crafts,-,,,,,,,
Crafts & School Supplies,Thread Crafts,Cross Stitch and Embroidery,,,,,,,
Crafts & School Supplies,Thread Crafts,Knitting and Crochet,,,,,,,
