src_pt,src_cat,src_sc,count,status,ent_pt_2,ent_cat_2,ent_sc_2,notes,,,
Furniture,Classroom Furniture Collections,Social Seating | Role Playing Toys,1,,Toys,Playsets & Equipment,-,,Age/Grade,11 Years (Grade 6),Mats
Furniture,Classroom Furniture Collections,"Social Seating | Sofa,Stool,Pillows,Bean Bag Chair,Soft Seating",0,,Toys,Pretend Play,Toy Furniture,,Age/Grade,11 Years (Grade 6),Miscellaneous Paper Products
Furniture,Classroom Furniture Collections,Social Seating | Sofa,8,,Toys,Pretend Play,Toy Furniture,,Age/Grade,11 Years (Grade 6),Movement Kit
Furniture,Classroom Furniture Collections,Social Seating | Sofas,1,,Toys,Pretend Play,Toy Furniture,,Age/Grade,11 Years (Grade 6),n/a
Furniture,Classroom Furniture Collections,Social Seating | Soft Seating,5,,Toys,Pretend Play,Toy Furniture,,Age/Grade,11 Years (Grade 6),Notebooks
Furniture,Classroom Furniture Collections,Social Seating | Storage Bench,2,,Home,Furniture,Storage,,Age/Grade,11 Years (Grade 6),Paint Kit
Furniture,Classroom Furniture Collections,Social Seating | Storage,0,,Home,Organization,-,,Age/Grade,11 Years (Grade 6),Pencils
Furniture,Classroom Furniture Collections,Social Seating | bundle,0,,Home,Furniture,Bookcases and Cubbies,,Age/Grade,11 Years (Grade 6),Posters
Furniture,Classroom Furniture Collections,Social Seating | n/a,0,,Toys,Playsets & Equipment,-,,Age/Grade,11 Years (Grade 6),Puzzles
Furniture,Classroom Furniture Collections,Boho Collection | Basket,2,,Home,Organization,Baskets and Bins,,Age/Grade,11 Years (Grade 6),Science Kit
Furniture,Classroom Furniture Collections,Boho Collection | Branches,0,,Toys,Science & Exploration Toys,Nature Exploration Toys,,Age/Grade,11 Years (Grade 6),Sensory Activities
Furniture,Classroom Furniture Collections,Boho Collection | Cabinet,0,,Home,Furniture,Storage,,Age/Grade,11 Years (Grade 6),Storage
Furniture,Classroom Furniture Collections,Boho Collection | Canvas,0,,Home,Decor,-,,Age/Grade,11 Years (Grade 6),Tools
Furniture,Classroom Furniture Collections,Boho Collection | Craft Kit,1,,Crafts & School Supplies,Craft Kits,-,,Age/Grade,11 Years (Grade 6),Toy Set
Furniture,Classroom Furniture Collections,Boho Collection | General Use Carpets,0,,Home,Decor,Rugs,,Age/Grade,11 Years (Grade 6),Tray
Furniture,Classroom Furniture Collections,"Boho Collection | Paper Roll,Patterned Paper",0,,Crafts & School Supplies,Paper Supplies,Paper Rolls,,Age/Grade,11 Years (Grade 6),Whiteboard
Furniture,Classroom Furniture Collections,Boho Collection | Poufs,0,,Toys,Z_Other,-,,Age/Grade,12 Years (Grade 7),"3D Pieces,Table Top Blocks,Connecting Blocks,Connecting Pieces"
Furniture,Classroom Furniture Collections,Boho Collection | Stones,0,,Home,Decor,-,,Age/Grade,12 Years (Grade 7),Balls
Furniture,Classroom Furniture Collections,Boho Collection | Yarn,0,,Crafts & School Supplies,Z_Other,-,,Age/Grade,12 Years (Grade 7),Basket
Furniture,Classroom Furniture Collections,Boho Collection | n/a,0,,Home,Decor,-,,Age/Grade,12 Years (Grade 7),Bean Bags
Furniture,Classroom Furniture Collections,Flexible Classroom | Activity Table,0,,Home,Furniture,Tables and Desks,,Age/Grade,12 Years (Grade 7),Board Games
Furniture,Classroom Furniture Collections,"Flexible Classroom | Bar Table,Tables",0,,Home,Furniture,Tables and Desks,,Age/Grade,12 Years (Grade 7),Books
Furniture,Classroom Furniture Collections,Flexible Classroom | Book Display,0,,Home,Furniture,Bookcases and Cubbies,,Age/Grade,12 Years (Grade 7),bundle
Furniture,Classroom Furniture Collections,Flexible Classroom | Bookcase,0,,Home,Furniture,Bookcases and Cubbies,,Age/Grade,12 Years (Grade 7),Caddy
Furniture,Classroom Furniture Collections,Flexible Classroom | Cabinet,0,,Home,Furniture,Bookcases and Cubbies,,Age/Grade,12 Years (Grade 7),Chair
Furniture,Classroom Furniture Collections,Flexible Classroom | Computer Desks,0,,Home,Furniture,Tables and Desks,,Age/Grade,12 Years (Grade 7),"Connecting Blocks,Connecting Pieces"
Furniture,Classroom Furniture Collections,Flexible Classroom | Crib,0,,Baby Gear,Sleeping,Cribs,,Age/Grade,12 Years (Grade 7),Connecting Pieces
Furniture,Classroom Furniture Collections,Flexible Classroom | Cubbies,0,,Home,Furniture,Bookcases and Cubbies,,Age/Grade,12 Years (Grade 7),Curriculum Resources
Furniture,Classroom Furniture Collections,Flexible Classroom | Easel,0,,Crafts & School Supplies,Easels,-,,Age/Grade,12 Years (Grade 7),Cushions
Furniture,Classroom Furniture Collections,Flexible Classroom | Fold & Lock,0,,Home,Furniture,Storage,,Age/Grade,12 Years (Grade 7),Instrument Set
Furniture,Classroom Furniture Collections,Flexible Classroom | Mirror,0,,Home,Decor,Mirrors,,Age/Grade,12 Years (Grade 7),Jump Rope
Furniture,Classroom Furniture Collections,Flexible Classroom | Organizer,0,,Office Supplies,Desk Organization,-,,Age/Grade,12 Years (Grade 7),Mats
Furniture,Classroom Furniture Collections,Flexible Classroom | Rack,0,,Home,Furniture,Storage,,Age/Grade,12 Years (Grade 7),Movement Kit
Furniture,Classroom Furniture Collections,Flexible Classroom | Room Dividers,0,,Home,Furniture,Bookcases and Cubbies,,Age/Grade,12 Years (Grade 7),Musical Instruments
Furniture,Classroom Furniture Collections,Flexible Classroom | Shelf Storage,0,,Home,Furniture,Storage,,Age/Grade,12 Years (Grade 7),n/a
Furniture,Classroom Furniture Collections,"Flexible Classroom | Storage,Cabinet",0,,Home,Furniture,Storage,,Age/Grade,12 Years (Grade 7),Notebooks
Furniture,Classroom Furniture Collections,"Flexible Classroom | Storage,Shelf Storage",0,,Home,Furniture,Storage,,Age/Grade,12 Years (Grade 7),Obstacle Kit
Furniture,Classroom Furniture Collections,Flexible Classroom | Storage Bench,0,,Home,Furniture,Storage,,Age/Grade,12 Years (Grade 7),Paint Kit
Furniture,Classroom Furniture Collections,Flexible Classroom | Storage,0,,Home,Furniture,Storage,,Age/Grade,12 Years (Grade 7),Pegboard
Furniture,Classroom Furniture Collections,Flexible Classroom | bundle,0,,Home,Furniture,Bookcases and Cubbies,,Age/Grade,12 Years (Grade 7),Puzzles
Furniture,Classroom Furniture Collections,Flexible Classroom | n/a,0,,Home,Furniture,-,,Age/Grade,12 Years (Grade 7),Ring Binders
Furniture,Classroom Furniture Collections,"Modern Classroom | Bar Table,Tables",0,,Home,Furniture,Tables and Desks,,Age/Grade,12 Years (Grade 7),Science Kit
Furniture,Classroom Furniture Collections,Modern Classroom | Basket,0,,Home,Furniture,Storage,,Age/Grade,12 Years (Grade 7),"Sofa,Stool,Pillows,Bean Bag Chair,Soft Seating"
Furniture,Classroom Furniture Collections,Modern Classroom | Bean Bag Chair,0,,Toys,Lawn Games,Bean Bags,,Age/Grade,12 Years (Grade 7),Sport Kit
Furniture,Classroom Furniture Collections,Modern Classroom | Bench,0,,Home,Furniture,-,,Age/Grade,12 Years (Grade 7),Sports Markers
Furniture,Classroom Furniture Collections,Modern Classroom | Border,0,,Home,Furniture,-,,Age/Grade,12 Years (Grade 7),Toy Set
Furniture,Classroom Furniture Collections,Modern Classroom | Cabinet,0,,Home,Furniture,Storage,,Age/Grade,12 Years (Grade 7),Whiteboard
Furniture,Classroom Furniture Collections,Modern Classroom | Chair,0,,Home,Furniture,Chairs and Sofas,,Age/Grade,3 Years (Preschool),2D Pieces
Furniture,Classroom Furniture Collections,Modern Classroom | Chairs,0,,Home,Furniture,Chairs and Sofas,,Age/Grade,3 Years (Preschool),3D Pieces
Furniture,Classroom Furniture Collections,Modern Classroom | Educational Carpets,0,,Home,Furniture,-,,Age/Grade,3 Years (Preschool),"3D Pieces,Activity Set,Connecting Pieces"
Furniture,Classroom Furniture Collections,Modern Classroom | Furniture Set,0,,Home,Furniture,-,,Age/Grade,3 Years (Preschool),"3D Pieces,Building Blocks,Table Top Blocks"
Furniture,Classroom Furniture Collections,Modern Classroom | General Use Carpets,0,,Home,Furniture,-,,Age/Grade,3 Years (Preschool),"3D Pieces,Connecting Pieces"
Furniture,Classroom Furniture Collections,"Modern Classroom | Paper Roll,Patterned Paper",0,,Crafts & School Supplies,Paper Supplies,Paper Rolls,,Age/Grade,3 Years (Preschool),"3D Pieces,Counting Pieces"
Furniture,Classroom Furniture Collections,Modern Classroom | Pasting Pieces,0,,Home,Furniture,Bookcases and Cubbies,,Age/Grade,3 Years (Preschool),"3D Pieces,Counting Pieces,Activity Set"
Furniture,Classroom Furniture Collections,Modern Classroom | Play Space,0,,Toys,Pretend Play,Toy Furniture,,Age/Grade,3 Years (Preschool),"3D Pieces,Counting Pieces,Activity Set,Connecting Pieces"
Furniture,Classroom Furniture Collections,Modern Classroom | Playtime Carpets,0,,Toys,Pretend Play,Toy Furniture,,Age/Grade,3 Years (Preschool),"3D Pieces,Counting Pieces,Connecting Pieces"
Furniture,Classroom Furniture Collections,Modern Classroom | Preschool Tables,0,,Home,Furniture,Tables and Desks,,Age/Grade,3 Years (Preschool),"3D Pieces,Floor Unit Blocks,Building Blocks"
Furniture,Classroom Furniture Collections,Modern Classroom | Sensory Activities,0,,Home,Furniture,-,,Age/Grade,3 Years (Preschool),"3D Pieces,Measuring Supplies,Counting Pieces,Tools"
Furniture,Classroom Furniture Collections,Modern Classroom | Sofa,0,,Home,Furniture,Chairs and Sofas,,Age/Grade,3 Years (Preschool),"3D Pieces,Table Top Blocks"
Furniture,Classroom Furniture Collections,Modern Classroom | Sofas,0,,Home,Furniture,Chairs and Sofas,,Age/Grade,3 Years (Preschool),"3D Pieces,Table Top Blocks,Connecting Blocks,Connecting Pieces"
Furniture,Classroom Furniture Collections,Modern Classroom | Tables,0,,Home,Furniture,Tables and Desks,,Age/Grade,3 Years (Preschool),"3D Pieces,Table Top Blocks,Connecting Pieces"
Furniture,Classroom Furniture Collections,Modern Classroom | n/a,0,,Home,Furniture,-,,Age/Grade,3 Years (Preschool),Activity Board
Furniture,Classroom Furniture Collections,Modern Farmhouse Collection | Activity Tables,0,,Home,Furniture,Tables and Desks,,Age/Grade,3 Years (Preschool),Activity Center
Furniture,Classroom Furniture Collections,Modern Farmhouse Collection | Art & Drawing Paper,0,,Crafts & School Supplies,Paper Supplies,Drawing Paper,,Age/Grade,3 Years (Preschool),Activity Set
Furniture,Classroom Furniture Collections,Modern Farmhouse Collection | Basket,0,,Home,Furniture,Storage,,Age/Grade,3 Years (Preschool),"Activity Set,2D Pieces"
Furniture,Classroom Furniture Collections,Modern Farmhouse Collection | Border,0,,Home,Furniture,Bookcases and Cubbies,,Age/Grade,3 Years (Preschool),"Activity Set,2D Pieces,Connecting Pieces"
Furniture,Classroom Furniture Collections,Modern Farmhouse Collection | Chair,0,,Home,Furniture,Chairs and Sofas,,Age/Grade,3 Years (Preschool),"Activity Set,2D Pieces,Connecting Pieces,Number Pieces"
Furniture,Classroom Furniture Collections,Modern Farmhouse Collection | Chart,0,,Toys,Learning Toys,Teaching Charts & Props,,Age/Grade,3 Years (Preschool),"Activity Set,2D Pieces,Puzzles"
Furniture,Classroom Furniture Collections,Modern Farmhouse Collection | Climber,0,,Toys,Playsets & Equipment,Climbers,,Age/Grade,3 Years (Preschool),"Activity Set,Flash Cards,Number Pieces"
Furniture,Classroom Furniture Collections,"Modern Farmhouse Collection | Divider Panel,Partition",0,,Home,Furniture,Bookcases and Cubbies,,Age/Grade,3 Years (Preschool),"Activity Set,Number Pieces"
Furniture,Classroom Furniture Collections,Modern Farmhouse Collection | Floor Pillows,0,,Home,Furniture,-,,Age/Grade,3 Years (Preschool),Activity Table
Furniture,Classroom Furniture Collections,Modern Farmhouse Collection | General Use Carpets,0,,Home,Furniture,-,,Age/Grade,3 Years (Preschool),Activity Tables
