src_pt,src_cat,src_sc,count,status,ent_pt_2,ent_cat_2,ent_sc_2,notes,Unnamed: 9,Unnamed: 10,Unnamed: 11,combined
furniture,classroom furniture collections,social seating  play space,0.0,,home,furniture,,,Age/Grade,11 Years (Grade 6),General Use Carpets,furniture classroom furniture collections social seating  play space
furniture,classroom furniture collections,social seating  posture cushion,0.0,,home,furniture,,,Age/Grade,11 Years (Grade 6),Greeting Card,furniture classroom furniture collections social seating  posture cushion
furniture,classroom furniture collections,social seating  poufs,0.0,,home,furniture,,,Age/Grade,11 Years (Grade 6),Magnets,furniture classroom furniture collections social seating  poufs
furniture,classroom furniture collections,social seating  rocker,0.0,,home,furniture,,,Age/Grade,11 Years (Grade 6),Markers,furniture classroom furniture collections social seating  rocker
furniture,classroom furniture collections,social seating  role playing toys,1.0,,home,furniture,,,Age/Grade,11 Years (Grade 6),Mats,furniture classroom furniture collections social seating  role playing toys
furniture,classroom furniture collections,social seating  sofastoolpillowsbean bag chairsoft seating,0.0,,baby gear,seating,,,Age/Grade,11 Years (Grade 6),Miscellaneous Paper Products,furniture classroom furniture collections social seating  sofastoolpillowsbean bag chairsoft seating
furniture,classroom furniture collections,social seating  sofa,8.0,,home,furniture,,,Age/Grade,11 Years (Grade 6),Movement Kit,furniture classroom furniture collections social seating  sofa
furniture,classroom furniture collections,social seating  sofas,1.0,,home,furniture,chairs and sofas,,Age/Grade,11 Years (Grade 6),,furniture classroom furniture collections social seating  sofas
furniture,classroom furniture collections,social seating  soft seating,5.0,,baby gear,seating,,,Age/Grade,11 Years (Grade 6),Notebooks,furniture classroom furniture collections social seating  soft seating
furniture,classroom furniture collections,social seating  storage bench,2.0,,home,furniture,storage,,Age/Grade,11 Years (Grade 6),Paint Kit,furniture classroom furniture collections social seating  storage bench
furniture,classroom furniture collections,social seating  storage,0.0,,home,furniture,storage,,Age/Grade,11 Years (Grade 6),Pencils,furniture classroom furniture collections social seating  storage
furniture,classroom furniture collections,social seating  bundle,0.0,,home,furniture,,,Age/Grade,11 Years (Grade 6),Posters,furniture classroom furniture collections social seating  bundle
furniture,classroom furniture collections,social seating  na,0.0,,home,furniture,,,Age/Grade,11 Years (Grade 6),Puzzles,furniture classroom furniture collections social seating  na
furniture,classroom furniture collections,boho collection  basket,2.0,,home,furniture,,,Age/Grade,11 Years (Grade 6),Science Kit,furniture classroom furniture collections boho collection  basket
furniture,classroom furniture collections,boho collection  branches,0.0,,home,furniture,,,Age/Grade,11 Years (Grade 6),Sensory Activities,furniture classroom furniture collections boho collection  branches
furniture,classroom furniture collections,boho collection  cabinet,0.0,,home,furniture,,,Age/Grade,11 Years (Grade 6),Storage,furniture classroom furniture collections boho collection  cabinet
furniture,classroom furniture collections,boho collection  canvas,0.0,,home,furniture,,,Age/Grade,11 Years (Grade 6),Tools,furniture classroom furniture collections boho collection  canvas
furniture,classroom furniture collections,boho collection  craft kit,1.0,,home,furniture,,,Age/Grade,11 Years (Grade 6),Toy Set,furniture classroom furniture collections boho collection  craft kit
furniture,classroom furniture collections,boho collection  general use carpets,0.0,,home,furniture,,,Age/Grade,11 Years (Grade 6),Tray,furniture classroom furniture collections boho collection  general use carpets
furniture,classroom furniture collections,boho collection  paper rollpatterned paper,0.0,,home,furniture,,,Age/Grade,11 Years (Grade 6),Whiteboard,furniture classroom furniture collections boho collection  paper rollpatterned paper
